"year","region","age","sex","n","mean_income"
"2000","GM066","15_25","M",1994,2097.56
"2000","GM067","15_25","M",1042,2063.17
"2000","GM068","15_25","M",802,2087.04
"2000","GM069","15_25","M",650,2072.48
"2000","GM070","15_25","M",1522,2081.63
"2000","GM071","15_25","M",567,2065.67
"2000","GM072","15_25","M",706,2098.09
"2000","GM073","15_25","M",1065,2103.79
"2000","GM074","15_25","M",1979,2084.36
"2000","GM075","15_25","M",706,2071.89
"2000","GM076","15_25","M",411,2069.22
"2000","GM077","15_25","M",2252,2084.17
"2000","GM078","15_25","M",714,2082.55
"2000","GM079","15_25","M",1334,2080.28
"2000","GM080","15_25","M",1268,2079.66
"2000","GM081","15_25","M",2296,2088.28
"2000","GM082","15_25","M",2157,2071.98
"2000","GM083","15_25","M",2530,2089.18
"2000","GM084","15_25","M",1121,2101.92
"2000","GM085","15_25","M",646,2106
"2000","GM086","15_25","M",693,2083.01
"2000","GM087","15_25","M",335,2110.9
"2000","GM088","15_25","M",2214,2064.65
"2000","GM089","15_25","M",2082,2079.38
"2000","GM090","15_25","M",641,2107.08
"2000","GM091","15_25","M",1875,2093.4
"2000","GM092","15_25","M",522,2088.95
"2000","GM093","15_25","M",2157,2081.82
"2000","GM094","15_25","M",273,2021.59
"2000","GM095","15_25","M",2250,2098.27
"2000","GM096","15_25","M",1502,2082.81
"2000","GM097","15_25","M",1540,2091.36
"2000","GM098","15_25","M",1402,2089.14
"2000","GM099","15_25","M",863,2071.86
"2000","GM100","15_25","M",1929,2084.17
"2000","GM001","25_35","F",286,1889.01
"2000","GM002","25_35","F",585,1885.74
"2000","GM003","25_35","F",412,1854.54
"2000","GM004","25_35","F",508,1896.27
"2000","GM005","25_35","F",723,1886.06
"2000","GM006","25_35","F",300,1885.51
"2000","GM007","25_35","F",190,1885.15
"2000","GM008","25_35","F",238,1835.12
"2000","GM009","25_35","F",335,1861.48
"2000","GM010","25_35","F",407,1918.34
"2000","GM011","25_35","F",583,1882.22
"2000","GM012","25_35","F",605,1896.59
"2000","GM013","25_35","F",558,1904.12
"2000","GM014","25_35","F",758,1889.03
"2000","GM015","25_35","F",182,1869.52
"2000","GM016","25_35","F",943,1890.15
"2000","GM017","25_35","F",469,1854.13
"2000","GM018","25_35","F",240,1886.96
"2000","GM019","25_35","F",621,1881.57
"2000","GM020","25_35","F",472,1888.26
"2000","GM021","25_35","F",983,1878.14
"2000","GM022","25_35","F",923,1886.72
"2000","GM023","25_35","F",587,1888.63
"2000","GM024","25_35","F",828,1882.48
"2000","GM025","25_35","F",960,1920.19
"2000","GM026","25_35","F",589,1891.03
"2000","GM027","25_35","F",161,1871.07
"2000","GM028","25_35","F",769,1907.82
"2000","GM029","25_35","F",473,1895.14
"2000","GM030","25_35","F",824,1883.04
"2000","GM031","25_35","F",702,1881.24
"2000","GM032","25_35","F",631,1882.07
"2000","GM033","25_35","F",442,1877.38
"2000","GM034","25_35","F",1061,1881.66
"2000","GM035","25_35","F",727,1870.45
"2000","GM036","25_35","F",691,1902.51
"2000","GM037","25_35","F",259,1876.88
"2000","GM038","25_35","F",382,1886.14
"2000","GM039","25_35","F",723,1889.36
"2000","GM040","25_35","F",177,1863.7
"2000","GM041","25_35","F",947,1892.45
"2000","GM042","25_35","F",710,1899.14
"2000","GM043","25_35","F",112,1882.9
"2000","GM044","25_35","F",585,1845.17
"2000","GM045","25_35","F",372,1871.67
"2000","GM046","25_35","F",850,1870.66
"2000","GM047","25_35","F",808,1875.9
"2000","GM048","25_35","F",1030,1879.66
"2000","GM049","25_35","F",686,1890.66
"2000","GM050","25_35","F",762,1885.97
"2000","GM051","25_35","F",730,1883.89
"2000","GM052","25_35","F",529,1884.91
"2000","GM053","25_35","F",824,1873.09
"2000","GM054","25_35","F",460,1868.61
"2000","GM055","25_35","F",1118,1891.46
"2000","GM056","25_35","F",800,1883.88
"2000","GM057","25_35","F",423,1870.05
"2000","GM058","25_35","F",706,1868.91
"2000","GM059","25_35","F",431,1851.95
"2000","GM060","25_35","F",1112,1869.3
"2000","GM061","25_35","F",990,1893.16
"2000","GM062","25_35","F",270,1883.21
"2000","GM063","25_35","F",1067,1894.95
"2000","GM064","25_35","F",268,1922.18
"2000","GM065","25_35","F",163,1943.86
"2000","GM066","25_35","F",874,1880.25
"2000","GM067","25_35","F",410,1919.79
"2000","GM068","25_35","F",336,1872.38
"2000","GM069","25_35","F",282,1892.57
"2000","GM070","25_35","F",613,1874.66
"2000","GM071","25_35","F",231,1811.69
"2000","GM072","25_35","F",319,1897.73
"2000","GM073","25_35","F",400,1861.05
"2000","GM074","25_35","F",829,1897.32
"2000","GM075","25_35","F",286,1862.87
"2000","GM076","25_35","F",193,1889.93
"2000","GM077","25_35","F",967,1877.03
"2000","GM078","25_35","F",298,1856.93
"2000","GM079","25_35","F",582,1895.56
"2000","GM080","25_35","F",562,1865.76
"2000","GM081","25_35","F",958,1872.4
"2000","GM082","25_35","F",917,1878.67
"2000","GM083","25_35","F",1039,1871.71
"2000","GM084","25_35","F",520,1879.87
"2000","GM085","25_35","F",247,1862.77
"2000","GM086","25_35","F",311,1897.29
"2000","GM087","25_35","F",127,1839.69
"2000","GM088","25_35","F",902,1895.32
"2000","GM089","25_35","F",877,1876.18
"2000","GM090","25_35","F",277,1944.06
"2000","GM091","25_35","F",787,1894.65
"2000","GM092","25_35","F",255,1822.74
"2000","GM093","25_35","F",918,1893.74
"2000","GM094","25_35","F",119,1888.49
"2000","GM095","25_35","F",867,1869.78
"2000","GM096","25_35","F",624,1892.04
"2000","GM097","25_35","F",669,1901.54
"2000","GM098","25_35","F",599,1872.59
"2000","GM099","25_35","F",347,1901.38
"2000","GM100","25_35","F",804,1871.81
"2000","GM001","25_35","M",677,2364.04
"2000","GM002","25_35","M",1387,2386.76
"2000","GM003","25_35","M",881,2370.33
"2000","GM004","25_35","M",1163,2376.96
"2000","GM005","25_35","M",1727,2397.62
"2000","GM006","25_35","M",685,2403.03
"2000","GM007","25_35","M",437,2393.96
"2000","GM008","25_35","M",589,2370.2
"2000","GM009","25_35","M",766,2377.55
"2000","GM010","25_35","M",985,2380.21
"2000","GM011","25_35","M",1222,2379.52
"2000","GM012","25_35","M",1306,2397.41
"2000","GM013","25_35","M",1366,2367.23
"2000","GM014","25_35","M",1682,2382.62
"2000","GM015","25_35","M",372,2369.24
"2000","GM016","25_35","M",2259,2380.66
"2000","GM017","25_35","M",1195,2391.22
"2000","GM018","25_35","M",562,2376.24
"2000","GM019","25_35","M",1468,2373.37
"2000","GM020","25_35","M",1170,2379.81
"2000","GM021","25_35","M",2319,2396.37
"2000","GM022","25_35","M",2088,2381.6
"2000","GM023","25_35","M",1409,2393.38
"2000","GM024","25_35","M",1930,2378.48
"2000","GM025","25_35","M",2170,2393.96
"2000","GM026","25_35","M",1502,2374.37
"2000","GM027","25_35","M",396,2392.92
"2000","GM028","25_35","M",1988,2385.86
"2000","GM029","25_35","M",1065,2396.02
"2000","GM030","25_35","M",1893,2378.22
"2000","GM031","25_35","M",1511,2394.95
"2000","GM032","25_35","M",1552,2380.07
"2000","GM033","25_35","M",1053,2383.47
"2000","GM034","25_35","M",2494,2396.92
"2000","GM035","25_35","M",1669,2400.61
"2000","GM036","25_35","M",1522,2379.65
"2000","GM037","25_35","M",652,2379.43
"2000","GM038","25_35","M",915,2383.03
"2000","GM039","25_35","M",1589,2384.14
"2000","GM040","25_35","M",415,2355.09
"2000","GM041","25_35","M",2223,2370.82
"2000","GM042","25_35","M",1627,2388.37
"2000","GM043","25_35","M",292,2394.64
"2000","GM044","25_35","M",1230,2372.73
"2000","GM045","25_35","M",833,2375.24
"2000","GM046","25_35","M",1967,2376.1
"2000","GM047","25_35","M",1875,2396.19
"2000","GM048","25_35","M",2533,2389.31
"2000","GM049","25_35","M",1690,2383.03
"2000","GM050","25_35","M",1880,2377.34
"2000","GM051","25_35","M",1724,2389.67
"2000","GM052","25_35","M",1217,2393.34
"2000","GM053","25_35","M",1970,2387.36
"2000","GM054","25_35","M",929,2403.44
"2000","GM055","25_35","M",2448,2390.35
"2000","GM056","25_35","M",2023,2381
"2000","GM057","25_35","M",1099,2374.19
"2000","GM058","25_35","M",1716,2385.23
"2000","GM059","25_35","M",997,2382.61
"2000","GM060","25_35","M",2570,2387.72
"2000","GM061","25_35","M",2243,2383.26
"2000","GM062","25_35","M",732,2402.01
"2000","GM063","25_35","M",2387,2381.83
"2000","GM064","25_35","M",548,2390.58
"2000","GM065","25_35","M",400,2401.5
"2000","GM066","25_35","M",2072,2392.04
"2000","GM067","25_35","M",1046,2412.09
"2000","GM068","25_35","M",761,2392.69
"2000","GM069","25_35","M",607,2384.98
"2000","GM070","25_35","M",1574,2387.72
"2000","GM071","25_35","M",563,2375.71
"2000","GM072","25_35","M",687,2403.49
"2000","GM073","25_35","M",1029,2389.34
"2000","GM074","25_35","M",2038,2384.62
"2000","GM075","25_35","M",733,2413.6
"2000","GM076","25_35","M",431,2358.1
"2000","GM077","25_35","M",2279,2373.28
"2000","GM078","25_35","M",751,2382.45
"2000","GM079","25_35","M",1384,2385.18
"2000","GM080","25_35","M",1258,2381.72
"2000","GM081","25_35","M",2171,2384.49
"2000","GM082","25_35","M",2212,2389.08
"2000","GM083","25_35","M",2388,2387.07
"2000","GM084","25_35","M",1209,2380.74
"2000","GM085","25_35","M",603,2374.42
"2000","GM086","25_35","M",729,2373.58
"2000","GM087","25_35","M",307,2423.89
"2000","GM088","25_35","M",2159,2399.96
"2000","GM089","25_35","M",2199,2379.63
"2000","GM090","25_35","M",667,2380.88
"2000","GM091","25_35","M",1835,2388.05
"2000","GM092","25_35","M",516,2367.05
"2000","GM093","25_35","M",2265,2383.95
"2000","GM094","25_35","M",309,2405.51
"2000","GM095","25_35","M",2181,2371.64
"2000","GM096","25_35","M",1480,2374.92
"2000","GM097","25_35","M",1466,2402.31
"2000","GM098","25_35","M",1451,2367.49
"2000","GM099","25_35","M",890,2387.68
"2000","GM100","25_35","M",1924,2381.03
"2000","GM001","35_45","F",296,2184.32
"2000","GM002","35_45","F",601,2194.27
"2000","GM003","35_45","F",406,2161.5
"2000","GM004","35_45","F",483,2181.83
"2000","GM005","35_45","F",690,2207.16
"2000","GM006","35_45","F",296,2169.06
"2000","GM007","35_45","F",195,2201.26
"2000","GM008","35_45","F",232,2143.08
"2000","GM009","35_45","F",392,2167.94
"2000","GM010","35_45","F",437,2219.31
"2000","GM011","35_45","F",526,2189.34
"2000","GM012","35_45","F",549,2196.32
"2000","GM013","35_45","F",610,2173.47
"2000","GM014","35_45","F",698,2190.84
"2000","GM015","35_45","F",167,2228.38
"2000","GM016","35_45","F",954,2186.15
"2000","GM017","35_45","F",521,2194.99
"2000","GM018","35_45","F",236,2148.64
"2000","GM019","35_45","F",646,2157.3
"2000","GM020","35_45","F",463,2154.83
"2000","GM021","35_45","F",1026,2196.4
"2000","GM022","35_45","F",918,2187.12
"2000","GM023","35_45","F",571,2195.53
"2000","GM024","35_45","F",895,2174.93
"2000","GM025","35_45","F",988,2189.19
"2000","GM026","35_45","F",596,2169.39
"2000","GM027","35_45","F",204,2162.78
"2000","GM028","35_45","F",831,2180.28
"2000","GM029","35_45","F",430,2208.13
"2000","GM030","35_45","F",805,2174.03
"2000","GM031","35_45","F",702,2198.97
"2000","GM032","35_45","F",702,2199.26
"2000","GM033","35_45","F",448,2166.93
"2000","GM034","35_45","F",1085,2170.74
"2000","GM035","35_45","F",768,2180.71
"2000","GM036","35_45","F",630,2175.41
"2000","GM037","35_45","F",264,2173.29
"2000","GM038","35_45","F",388,2178.88
"2000","GM039","35_45","F",726,2183.6
"2000","GM040","35_45","F",192,2167.91
"2000","GM041","35_45","F",930,2173.7
"2000","GM042","35_45","F",669,2199.62
"2000","GM043","35_45","F",155,2163.33
"2000","GM044","35_45","F",534,2188.41
"2000","GM045","35_45","F",411,2198.39
"2000","GM046","35_45","F",876,2169.16
"2000","GM047","35_45","F",785,2186.33
"2000","GM048","35_45","F",1038,2169.74
"2000","GM049","35_45","F",678,2223.55
"2000","GM050","35_45","F",821,2189.04
"2000","GM051","35_45","F",658,2178.23
"2000","GM052","35_45","F",523,2185.85
"2000","GM053","35_45","F",834,2176.33
"2000","GM054","35_45","F",403,2192.7
"2000","GM055","35_45","F",1115,2170.46
"2000","GM056","35_45","F",872,2188.7
"2000","GM057","35_45","F",463,2202.72
"2000","GM058","35_45","F",717,2172.56
"2000","GM059","35_45","F",407,2205.66
"2000","GM060","35_45","F",1148,2175.88
"2000","GM061","35_45","F",967,2184.38
"2000","GM062","35_45","F",293,2169.62
"2000","GM063","35_45","F",1000,2192.03
"2000","GM064","35_45","F",250,2202.38
"2000","GM065","35_45","F",178,2221.63
"2000","GM066","35_45","F",863,2191.66
"2000","GM067","35_45","F",438,2141.94
"2000","GM068","35_45","F",323,2174.99
"2000","GM069","35_45","F",286,2198.2
"2000","GM070","35_45","F",689,2183.15
"2000","GM071","35_45","F",241,2188.97
"2000","GM072","35_45","F",322,2173.65
"2000","GM073","35_45","F",456,2158.52
"2000","GM074","35_45","F",837,2198.64
"2000","GM075","35_45","F",295,2205.49
"2000","GM076","35_45","F",171,2194.49
"2000","GM077","35_45","F",958,2202.09
"2000","GM078","35_45","F",320,2184.13
"2000","GM079","35_45","F",601,2192.8
"2000","GM080","35_45","F",533,2171.29
"2000","GM081","35_45","F",989,2172.59
"2000","GM082","35_45","F",868,2187.85
"2000","GM083","35_45","F",1089,2204.97
"2000","GM084","35_45","F",484,2138.22
"2000","GM085","35_45","F",246,2140.22
"2000","GM086","35_45","F",316,2187.59
"2000","GM087","35_45","F",130,2199.94
"2000","GM088","35_45","F",908,2226.29
"2000","GM089","35_45","F",919,2199.76
"2000","GM090","35_45","F",285,2164.53
"2000","GM091","35_45","F",766,2190.62
"2000","GM092","35_45","F",227,2201.83
"2000","GM093","35_45","F",1001,2189.34
"2000","GM094","35_45","F",114,2118.93
"2000","GM095","35_45","F",970,2167.16
"2000","GM096","35_45","F",624,2196.39
"2000","GM097","35_45","F",636,2177.67
"2000","GM098","35_45","F",625,2183.38
"2000","GM099","35_45","F",338,2176.74
"2000","GM100","35_45","F",815,2161.26
"2000","GM001","35_45","M",640,2708.29
"2000","GM002","35_45","M",1378,2701.24
"2000","GM003","35_45","M",893,2678.89
"2000","GM004","35_45","M",1172,2691.64
"2000","GM005","35_45","M",1599,2671.73
"2000","GM006","35_45","M",780,2682.82
"2000","GM007","35_45","M",447,2704.55
"2000","GM008","35_45","M",543,2670.76
"2000","GM009","35_45","M",845,2676.98
"2000","GM010","35_45","M",1022,2696.2
"2000","GM011","35_45","M",1248,2681.09
"2000","GM012","35_45","M",1279,2682.1
"2000","GM013","35_45","M",1394,2688.63
"2000","GM014","35_45","M",1664,2698.71
"2000","GM015","35_45","M",382,2677.53
"2000","GM016","35_45","M",2126,2682.21
"2000","GM017","35_45","M",1163,2670.99
"2000","GM018","35_45","M",609,2687.63
"2000","GM019","35_45","M",1385,2704.28
"2000","GM020","35_45","M",1129,2695.03
"2000","GM021","35_45","M",2300,2686.7
"2000","GM022","35_45","M",2237,2687.84
"2000","GM023","35_45","M",1312,2679.75
"2000","GM024","35_45","M",1942,2688.9
"2000","GM025","35_45","M",2104,2692.19
"2000","GM026","35_45","M",1462,2701.52
"2000","GM027","35_45","M",440,2697.31
"2000","GM028","35_45","M",1901,2675.87
"2000","GM029","35_45","M",1113,2679.27
"2000","GM030","35_45","M",1842,2678.01
"2000","GM031","35_45","M",1672,2692.46
"2000","GM032","35_45","M",1520,2669.24
"2000","GM033","35_45","M",1046,2689.11
"2000","GM034","35_45","M",2511,2691.11
"2000","GM035","35_45","M",1730,2692.26
"2000","GM036","35_45","M",1543,2698
"2000","GM037","35_45","M",670,2679.76
"2000","GM038","35_45","M",959,2685.17
"2000","GM039","35_45","M",1622,2682.58
"2000","GM040","35_45","M",424,2681.88
"2000","GM041","35_45","M",2266,2670.55
"2000","GM042","35_45","M",1580,2686.97
"2000","GM043","35_45","M",244,2667.2
"2000","GM044","35_45","M",1264,2700.01
"2000","GM045","35_45","M",808,2688.04
"2000","GM046","35_45","M",2056,2687.74
"2000","GM047","35_45","M",1880,2697.02
"2000","GM048","35_45","M",2417,2680.42
"2000","GM049","35_45","M",1688,2691.32
"2000","GM050","35_45","M",1749,2677.29
"2000","GM051","35_45","M",1746,2666.18
"2000","GM052","35_45","M",1193,2694.35
"2000","GM053","35_45","M",2025,2671.81
"2000","GM054","35_45","M",884,2699.45
"2000","GM055","35_45","M",2491,2680.24
"2000","GM056","35_45","M",2071,2688.43
"2000","GM057","35_45","M",976,2691.04
"2000","GM058","35_45","M",1685,2695.84
"2000","GM059","35_45","M",981,2684.66
"2000","GM060","35_45","M",2538,2683.72
"2000","GM061","35_45","M",2126,2697.49
"2000","GM062","35_45","M",729,2692.6
"2000","GM063","35_45","M",2404,2709.8
"2000","GM064","35_45","M",619,2711.41
"2000","GM065","35_45","M",377,2663.23
"2000","GM066","35_45","M",1930,2682.81
"2000","GM067","35_45","M",1008,2713.41
"2000","GM068","35_45","M",799,2696.08
"2000","GM069","35_45","M",687,2684.99
"2000","GM070","35_45","M",1562,2681.79
"2000","GM071","35_45","M",557,2688.1
"2000","GM072","35_45","M",742,2687.99
"2000","GM073","35_45","M",1080,2669.66
"2000","GM074","35_45","M",2024,2682.13
"2000","GM075","35_45","M",693,2683.77
"2000","GM076","35_45","M",448,2673.08
"2000","GM077","35_45","M",2243,2686.97
"2000","GM078","35_45","M",736,2675.88
"2000","GM079","35_45","M",1337,2683.62
"2000","GM080","35_45","M",1256,2668.15
"2000","GM081","35_45","M",2382,2688.26
"2000","GM082","35_45","M",2191,2693.02
"2000","GM083","35_45","M",2435,2693.88
"2000","GM084","35_45","M",1195,2692.74
"2000","GM085","35_45","M",589,2661.99
"2000","GM086","35_45","M",680,2671.05
"2000","GM087","35_45","M",314,2682.1
"2000","GM088","35_45","M",2166,2680.29
"2000","GM089","35_45","M",2187,2678.95
"2000","GM090","35_45","M",630,2656.36
"2000","GM091","35_45","M",1877,2668.18
"2000","GM092","35_45","M",524,2669.08
"2000","GM093","35_45","M",2335,2682.44
"2000","GM094","35_45","M",310,2682.8
"2000","GM095","35_45","M",2244,2684.37
"2000","GM096","35_45","M",1521,2678.59
"2000","GM097","35_45","M",1465,2658.27
"2000","GM098","35_45","M",1436,2693.11
"2000","GM099","35_45","M",903,2672.84
"2000","GM100","35_45","M",1884,2695.09
"2000","GM001","45_55","F",266,2491.35
"2000","GM002","45_55","F",634,2502.63
"2000","GM003","45_55","F",377,2496.99
"2000","GM004","45_55","F",476,2507.92
"2000","GM005","45_55","F",739,2514.3
"2000","GM006","45_55","F",306,2443.77
"2000","GM007","45_55","F",207,2468.15
"2000","GM008","45_55","F",221,2431.14
"2000","GM009","45_55","F",361,2455.2
"2000","GM010","45_55","F",428,2497.48
"2000","GM011","45_55","F",466,2506.26
"2000","GM012","45_55","F",579,2463.81
"2000","GM013","45_55","F",592,2491.58
"2000","GM014","45_55","F",711,2497.96
"2000","GM015","45_55","F",183,2442.48
"2000","GM016","45_55","F",936,2482.36
"2000","GM017","45_55","F",527,2481.57
"2000","GM018","45_55","F",265,2509.54
"2000","GM019","45_55","F",586,2500.78
"2000","GM020","45_55","F",483,2514.64
"2000","GM021","45_55","F",1001,2514.65
"2000","GM022","45_55","F",993,2472.52
"2000","GM023","45_55","F",603,2464.09
"2000","GM024","45_55","F",834,2454.66
"2000","GM025","45_55","F",928,2474.77
"2000","GM026","45_55","F",645,2464.48
"2000","GM027","45_55","F",182,2473.3
"2000","GM028","45_55","F",851,2485.25
"2000","GM029","45_55","F",454,2472.67
"2000","GM030","45_55","F",829,2484.56
"2000","GM031","45_55","F",724,2486.3
"2000","GM032","45_55","F",672,2477.1
"2000","GM033","45_55","F",477,2512.31
"2000","GM034","45_55","F",1028,2469.49
"2000","GM035","45_55","F",742,2488.5
"2000","GM036","45_55","F",611,2496.53
"2000","GM037","45_55","F",242,2470.52
"2000","GM038","45_55","F",380,2502.75
"2000","GM039","45_55","F",747,2474.2
"2000","GM040","45_55","F",209,2536.71
"2000","GM041","45_55","F",909,2500.78
"2000","GM042","45_55","F",692,2494.83
"2000","GM043","45_55","F",123,2474.06
"2000","GM044","45_55","F",557,2512.55
"2000","GM045","45_55","F",347,2478.25
"2000","GM046","45_55","F",856,2488.97
"2000","GM047","45_55","F",804,2504.54
"2000","GM048","45_55","F",1047,2481.48
"2000","GM049","45_55","F",709,2500.93
"2000","GM050","45_55","F",768,2490.58
"2000","GM051","45_55","F",739,2494.14
"2000","GM052","45_55","F",496,2485.37
"2000","GM053","45_55","F",798,2491.61
"2000","GM054","45_55","F",437,2471.08
